rewrite,nbre_car
repentigny,10,Repentigny
reux,4,Reux
reviers,7,Reviers
rocquancourt,12,Rocquancourt
rocques,7,Rocques
rosel,5,Rosel
rots,4,Rots
roucamps,8,Roucamps
roullours,9,Roullours
rouvres,7,Rouvres
rubercy,7,Rubercy
rucqueville,11,Rucqueville
rully,5,Rully
rumesnil,8,Rumesnil
russy,5,Russy
ryes,4,Ryes
saint-agnan-le-malherbe,23,Saint-Agnan-le-Malherbe
saint-aignan-de-cramesnil,25,Saint-Aignan-de-Cramesnil
saint-andre-d-hebertot,22,Saint-André-d'Hébertot
saint-andre-sur-orne,20,Saint-André-sur-Orne
saint-arnoult,13,Saint-Arnoult
saint-aubin-d-arquenay,22,Saint-Aubin-d'Arquenay
saint-aubin-des-bois,20,Saint-Aubin-des-Bois
saint-aubin-sur-mer,19,Saint-Aubin-sur-Mer
saint-benoit-d-hebertot,23,Saint-Benoît-d'Hébertot
saint-charles-de-percy,22,Saint-Charles-de-Percy
saint-come-de-fresne,20,Saint-Côme-de-Fresné
saint-contest,13,Saint-Contest
saint-cyr-du-ronceray,21,Saint-Cyr-du-Ronceray
saint-denis-de-mailloc,22,Saint-Denis-de-Mailloc
saint-denis-de-mere,19,Saint-Denis-de-Méré
saint-denis-maisoncelles,24,Saint-Denis-Maisoncelles
saint-desir,11,Saint-Désir
saint-etienne-la-thillaye,25,Saint-Etienne-la-Thillaye
saint-gabriel-brecy,19,Saint-Gabriel-Brécy
saint-gatien-des-bois,21,Saint-Gatien-des-Bois
saint-georges-d-aunay,21,Saint-Georges-d'Aunay
saint-georges-en-auge,21,Saint-Georges-en-Auge
saint-germain-d-ectot,21,Saint-Germain-d'Ectot
saint-germain-de-livet,22,Saint-Germain-de-Livet
saint-germain-de-montgommery,28,Saint-Germain-de-Montgommery
saint-germain-de-tallevende-la-lande-vaumont,44,Saint-Germain-de-Tallevende-la-Lande-Vaumont
saint-germain-du-crioult,24,Saint-Germain-du-Crioult
saint-germain-du-pert,21,Saint-Germain-du-Pert
saint-germain-la-blanche-herbe,30,Saint-Germain-la-Blanche-Herbe
saint-germain-langot,20,Saint-Germain-Langot
saint-germain-le-vasson,23,Saint-Germain-le-Vasson
saint-hymer,11,Saint-Hymer
saint-jean-de-livet,19,Saint-Jean-de-Livet
saint-jean-des-essartiers,25,Saint-Jean-des-Essartiers
saint-jean-le-blanc,19,Saint-Jean-le-Blanc
saint-jouin,11,Saint-Jouin
saint-julien-de-mailloc,23,Saint-Julien-de-Mailloc
saint-julien-le-faucon,22,Saint-Julien-le-Faucon
saint-julien-sur-calonne,24,Saint-Julien-sur-Calonne
saint-lambert,13,Saint-Lambert
saint-laurent-de-condel,23,Saint-Laurent-de-Condel
saint-laurent-du-mont,21,Saint-Laurent-du-Mont
saint-laurent-sur-mer,21,Saint-Laurent-sur-Mer
saint-leger-dubosq,18,Saint-Léger-Dubosq
saint-louet-sur-seulles,23,Saint-Louet-sur-Seulles
saint-loup-de-fribois,21,Saint-Loup-de-Fribois
saint-loup-hors,15,Saint-Loup-Hors
saint-manvieu-bocage,20,Saint-Manvieu-Bocage
saint-manvieu-norrey,20,Saint-Manvieu-Norrey
saint-marcouf,13,Saint-Marcouf
saint-martin-aux-chartrains,27,Saint-Martin-aux-Chartrains
saint-martin-de-bienfaite-la-cressonniere,41,Saint-Martin-de-Bienfaite-la-Cressonnière
saint-martin-de-blagny,22,Saint-Martin-de-Blagny
saint-martin-de-fontenay,24,Saint-Martin-de-Fontenay
saint-martin-de-la-lieue,24,Saint-Martin-de-la-Lieue
saint-martin-de-mailloc,23,Saint-Martin-de-Mailloc
saint-martin-de-mieux,21,Saint-Martin-de-Mieux
saint-martin-de-sallen,22,Saint-Martin-de-Sallen
saint-martin-des-besaces,24,Saint-Martin-des-Besaces
saint-martin-des-entrees,24,Saint-Martin-des-Entrées
saint-martin-don,16,Saint-Martin-Don
saint-martin-du-mesnil-oury,27,Saint-Martin-du-Mesnil-Oury
saint-michel-de-livet,21,Saint-Michel-de-Livet
saint-omer,10,Saint-Omer
saint-ouen-des-besaces,22,Saint-Ouen-des-Besaces
saint-ouen-du-mesnil-oger,25,Saint-Ouen-du-Mesnil-Oger
saint-ouen-le-houx,18,Saint-Ouen-le-Houx
saint-ouen-le-pin,17,Saint-Ouen-le-Pin
saint-pair,10,Saint-Pair
saint-paul-du-vernay,20,Saint-Paul-du-Vernay
saint-philbert-des-champs,25,Saint-Philbert-des-Champs
saint-pierre-azif,17,Saint-Pierre-Azif
saint-pierre-canivet,20,Saint-Pierre-Canivet
saint-pierre-de-mailloc,23,Saint-Pierre-de-Mailloc
saint-pierre-des-ifs,20,Saint-Pierre-des-Ifs
saint-pierre-du-bu,18,Saint-Pierre-du-Bû
saint-pierre-du-fresne,22,Saint-Pierre-du-Fresne
saint-pierre-du-jonquet,23,Saint-Pierre-du-Jonquet
saint-pierre-du-mont,20,Saint-Pierre-du-Mont
saint-pierre-la-vieille,23,Saint-Pierre-la-Vieille
saint-pierre-sur-dives,22,Saint-Pierre-sur-Dives
saint-pierre-tarentaine,23,Saint-Pierre-Tarentaine
saint-remy,10,Saint-Rémy
saint-samson,12,Saint-Samson
saint-sever-calvados,20,Saint-Sever-Calvados
saint-sylvain,13,Saint-Sylvain
saint-vaast-en-auge,19,Saint-Vaast-en-Auge
saint-vaast-sur-seulles,23,Saint-Vaast-sur-Seulles
saint-vigor-des-mezerets,24,Saint-Vigor-des-Mézerets
saint-vigor-le-grand,20,Saint-Vigor-le-Grand
sainte-croix-grand-tonne,24,Sainte-Croix-Grand-Tonne
sainte-croix-sur-mer,20,Sainte-Croix-sur-Mer
sainte-foy-de-montgommery,25,Sainte-Foy-de-Montgommery
sainte-honorine-de-ducy,23,Sainte-Honorine-de-Ducy
sainte-honorine-des-pertes,26,Sainte-Honorine-des-Pertes
sainte-honorine-du-fay,22,Sainte-Honorine-du-Fay
sainte-marguerite-d-elle,24,Sainte-Marguerite-d'Elle
sainte-marguerite-de-viette,27,Sainte-Marguerite-de-Viette
sainte-marguerite-des-loges,27,Sainte-Marguerite-des-Loges
sainte-marie-laumont,20,Sainte-Marie-Laumont
sainte-marie-outre-l-eau,24,Sainte-Marie-Outre-l'Eau
sallen,6,Sallen
sallenelles,11,Sallenelles
sannerville,11,Sannerville
saon,4,Saon
saonnet,7,Saonnet
sassy,5,Sassy
secqueville-en-bessin,21,Secqueville-en-Bessin
sept-freres,11,Sept-Frères
sept-vents,10,Sept-Vents
soignolles,10,Soignolles
soliers,7,Soliers
sommervieu,10,Sommervieu
soulangy,8,Soulangy
soumont-saint-quentin,21,Soumont-Saint-Quentin
subles,6,Subles
sully,5,Sully
surrain,7,Surrain
surville,8,Surville
tessel,6,Tessel
thaon,5,Thaon
thieville,9,Thiéville
thury-harcourt,14,Thury-Harcourt
tierceville,11,Tierceville
tilly-la-campagne,17,Tilly-la-Campagne
tilly-sur-seulles,17,Tilly-sur-Seulles
tordouet,8,Tordouet
torteval-quesnay,16,Torteval-Quesnay
tortisambert,12,Tortisambert
touffreville,12,Touffréville
touques,7,Touques
tour-en-bessin,14,Tour-en-Bessin
tourgeville,11,Tourgéville
tournay-sur-odon,16,Tournay-sur-Odon
tournebu,8,Tournebu
tournieres,10,Tournières
tourville-en-auge,17,Tourville-en-Auge
tourville-sur-odon,18,Tourville-sur-Odon
tracy-bocage,12,Tracy-Bocage
tracy-sur-mer,13,Tracy-sur-Mer
treprel,7,Tréprel
trevieres,9,Trévières
troarn,6,Troarn
trois-monts,11,Trois-Monts
trouville-sur-mer,17,Trouville-sur-Mer
trungy,6,Trungy
truttemer-le-grand,18,Truttemer-le-Grand
truttemer-le-petit,18,Truttemer-le-Petit
urville,7,Urville
ussy,4,Ussy
vacognes-neuilly,16,Vacognes-Neuilly
valseme,7,Valsemé
varaville,9,Varaville
vassy,5,Vassy
vaubadon,8,Vaubadon
vaucelles,9,Vaucelles
vaudeloges,10,Vaudeloges
vaudry,6,Vaudry
vauville,8,Vauville
vaux-sur-aure,13,Vaux-sur-Aure
vaux-sur-seulles,16,Vaux-sur-Seulles
vendes,6,Vendes
vendeuvre,9,Vendeuvre
ver-sur-mer,11,Ver-sur-Mer
versainville,12,Versainville
verson,6,Verson
vicques,7,Vicques
victot-pontfol,14,Victot-Pontfol
vienne-en-bessin,16,Vienne-en-Bessin
vierville-sur-mer,17,Vierville-sur-Mer
viessoix,8,Viessoix
vieux,5,Vieux
vieux-bourg,11,Vieux-Bourg
vieux-fume,10,Vieux-Fumé
vieux-pont-en-auge,18,Vieux-Pont-en-Auge
vignats,7,Vignats
villers-bocage,14,Villers-Bocage
villers-canivet,15,Villers-Canivet
villers-sur-mer,15,Villers-sur-Mer
villerville,11,Villerville
villiers-le-sec,15,Villiers-le-Sec
villons-les-buissons,20,Villons-les-Buissons
villy-bocage,12,Villy-Bocage
villy-lez-falaise,17,Villy-lez-Falaise
vimont,6,Vimont
vire,4,Vire
vouilly,7,Vouilly
albepierre-bredons,18,Albepierre-Bredons
allanche,8,Allanche
alleuze,7,Alleuze
ally,4,Ally
andelat,7,Andelat
anglards-de-saint-flour,23,Anglards-de-Saint-Flour
anglards-de-salers,18,Anglards-de-Salers
anterrieux,10,Anterrieux
antignac,8,Antignac
apchon,6,Apchon
arches,6,Arches
arnac,5,Arnac
arpajon-sur-cere,16,Arpajon-sur-Cère
auriac-l-eglise,15,Auriac-l'Eglise
aurillac,8,Aurillac
auzers,6,Auzers
ayrens,6,Ayrens
badailhac,9,Badailhac
barriac-les-bosquets,20,Barriac-les-Bosquets
bassignac,9,Bassignac
beaulieu,8,Beaulieu
besse,5,Besse
boisset,7,Boisset
bonnac,6,Bonnac
brageac,7,Brageac
brezons,7,Brezons
calvinet,8,Calvinet
carlat,6,Carlat
cassaniouze,11,Cassaniouze
cayrols,7,Cayrols
celles,6,Celles
celoux,6,Celoux
cezens,6,Cézens
chaliers,8,Chaliers
chalinargues,12,Chalinargues
chalvignac,10,Chalvignac
champagnac,10,Champagnac
champs-sur-tarentaine-marchal,29,Champs-sur-Tarentaine-Marchal
chanterelle,11,Chanterelle
charmensac,10,Charmensac
chastel-sur-murat,17,Chastel-sur-Murat
chaudes-aigues,14,Chaudes-Aigues
chaussenac,10,Chaussenac
chavagnac,9,Chavagnac
chazelles,9,Chazelles
cheylade,8,Cheylade
clavieres,9,Clavières
collandres,10,Collandres
coltines,8,Coltines
condat,6,Condat
coren,5,Coren
crandelles,10,Crandelles
cros-de-montvert,16,Cros-de-Montvert
cros-de-ronesque,16,Cros-de-Ronesque
cussac,6,Cussac
deux-verges,11,Deux-Verges
dienne,6,Dienne
drugeac,7,Drugeac
escorailles,11,Escorailles
espinasse,9,Espinasse
faverolles,10,Faverolles
ferrieres-saint-mary,20,Ferrières-Saint-Mary
fontanges,9,Fontanges
fournoules,10,Fournoulès
freix-anglards,14,Freix-Anglards
fridefont,9,Fridefont
giou-de-mamou,13,Giou-de-Mamou
girgols,7,Girgols
glenat,6,Glénat
gourdieges,10,Gourdièges
jabrun,6,Jabrun
jaleyrac,8,Jaleyrac
jou-sous-monjou,15,Jou-sous-Monjou
joursac,7,Joursac
junhac,6,Junhac
jussac,6,Jussac
la-chapelle-d-alagnon,21,"La Chapelle-d'Alagnon"
la-chapelle-laurent,19,"La Chapelle-Laurent"
la-monselie,11,"La Monselie"
la-segalassiere,15,"La Ségalassière"
la-trinitat,11,"La Trinitat"
labesserette,12,Labesserette
labrousse,9,Labrousse
lacapelle-barres,16,Lacapelle-Barrès
lacapelle-del-fraisse,21,Lacapelle-del-Fraisse
lacapelle-viescamp,18,Lacapelle-Viescamp
ladinhac,8,Ladinhac
lafeuillade-en-vezie,20,Lafeuillade-en-Vézie
landeyrat,9,Landeyrat
lanobre,7,Lanobre
lapeyrugue,10,Lapeyrugue
laroquebrou,11,Laroquebrou
laroquevieille,14,Laroquevieille
lascelle,8,Lascelle
lastic,6,Lastic
laurie,6,Laurie
lavastrie,9,Lavastrie
laveissenet,11,Laveissenet
laveissiere,11,Laveissière
lavigerie,9,Lavigerie
le-claux,8,"Le Claux"
le-falgoux,10,"Le Falgoux"
le-fau,6,"Le Fau"
le-monteil,10,"Le Monteil"
le-rouget,9,"Le Rouget"
le-trioulou,11,"Le Trioulou"
le-vaulmier,11,"Le Vaulmier"
le-vigean,9,"Le Vigean"
les-ternes,10,"Les Ternes"
leucamp,7,Leucamp
leynhac,7,Leynhac
leyvaux,7,Leyvaux
lieutades,9,Lieutadès
lorcieres,9,Lorcières
loubaresse,10,Loubaresse
lugarde,7,Lugarde
madic,5,Madic
malbo,5,Malbo
mandailles-saint-julien,23,Mandailles-Saint-Julien
marcenat,8,Marcenat
marchastel,10,Marchastel
marcoles,8,Marcolès
marmanhac,9,Marmanhac
massiac,7,Massiac
mauriac,7,Mauriac
maurines,8,Maurines
maurs,5,Maurs
meallet,7,Méallet
menet,5,Menet
mentieres,9,Mentières
moledes,7,Molèdes
molompize,9,Molompize
montboudif,10,Montboudif
montchamp,9,Montchamp
montgreleix,11,Montgreleix
montmurat,9,Montmurat
montsalvy,9,Montsalvy
montvert,8,Montvert
mourjou,7,Mourjou
moussages,9,Moussages
murat,5,Murat
narnhac,7,Narnhac
naucelles,9,Naucelles
neussargues-moissac,19,Neussargues-Moissac
neuveglise,10,Neuvéglise
nieudan,7,Nieudan
omps,4,Omps
oradour,7,Oradour
pailherols,10,Pailherols
parlan,6,Parlan
paulhac,7,Paulhac
paulhenc,8,Paulhenc
pers,4,Pers
peyrusse,8,Peyrusse
pierrefort,10,Pierrefort
pleaux,6,Pleaux
polminhac,9,Polminhac
pradiers,8,Pradiers
prunet,6,Prunet
quezac,6,Quézac
rageade,7,Rageade
raulhac,7,Raulhac
reilhac,7,Reilhac
rezentieres,11,Rézentières
riom-es-montagnes,17,Riom-ès-Montagnes
roannes-saint-mary,18,Roannes-Saint-Mary
roffiac,7,Roffiac
rouffiac,8,Rouffiac
roumegoux,9,Roumégoux
rouziers,8,Rouziers
ruynes-en-margeride,19,Ruynes-en-Margeride
saignes,7,Saignes
saint-amandin,13,Saint-Amandin
saint-antoine,13,Saint-Antoine
saint-bonnet-de-condat,22,Saint-Bonnet-de-Condat
saint-bonnet-de-salers,22,Saint-Bonnet-de-Salers
saint-cernin,12,Saint-Cernin
saint-chamant,13,Saint-Chamant
saint-cirgues-de-jordanne,25,Saint-Cirgues-de-Jordanne
saint-cirgues-de-malbert,24,Saint-Cirgues-de-Malbert
saint-clement,13,Saint-Clément
saint-constant,14,Saint-Constant
saint-etienne-cantales,22,Saint-Etienne-Cantalès
saint-etienne-de-carlat,23,Saint-Etienne-de-Carlat
saint-etienne-de-chomeil,24,Saint-Etienne-de-Chomeil
saint-etienne-de-maurs,22,Saint-Etienne-de-Maurs
saint-flour,11,Saint-Flour
saint-georges,13,Saint-Georges
saint-gerons,12,Saint-Gérons
saint-hippolyte,15,Saint-Hippolyte
saint-illide,12,Saint-Illide
saint-jacques-des-blats,23,Saint-Jacques-des-Blats
saint-julien-de-toursac,23,Saint-Julien-de-Toursac
saint-just,10,Saint-Just
saint-mamet-la-salvetat,23,Saint-Mamet-la-Salvetat
saint-marc,10,Saint-Marc
saint-martial,13,Saint-Martial
saint-martin-cantales,21,Saint-Martin-Cantalès
saint-martin-sous-vigouroux,27,Saint-Martin-sous-Vigouroux
saint-martin-valmeroux,22,Saint-Martin-Valmeroux
saint-mary-le-plain,19,Saint-Mary-le-Plain
saint-paul-de-salers,20,Saint-Paul-de-Salers
saint-paul-des-landes,21,Saint-Paul-des-Landes
saint-pierre,12,Saint-Pierre
saint-poncy,11,Saint-Poncy
saint-projet-de-salers,22,Saint-Projet-de-Salers
saint-remy-de-chaudes-aigues,28,Saint-Rémy-de-Chaudes-Aigues
saint-santin-cantales,21,Saint-Santin-Cantalès
saint-santin-de-maurs,21,Saint-Santin-de-Maurs
saint-saturnin,14,Saint-Saturnin
saint-saury,11,Saint-Saury
saint-simon,11,Saint-Simon
saint-urcize,12,Saint-Urcize
saint-victor,12,Saint-Victor
saint-vincent-de-salers,23,Saint-Vincent-de-Salers
sainte-anastasie,16,Sainte-Anastasie
sainte-eulalie,14,Sainte-Eulalie
sainte-marie,12,Sainte-Marie
salers,6,Salers
salins,6,Salins
sansac-de-marmiesse,19,Sansac-de-Marmiesse
sansac-veinazes,15,Sansac-Veinazès
sauvat,6,Sauvat
segur-les-villas,16,Ségur-les-Villas
senezergues,11,Sénezergues
seriers,7,Sériers
siran,5,Siran
soulages,8,Soulages
sourniac,8,Sourniac
talizat,7,Talizat
tanavelle,9,Tanavelle
teissieres-de-cornet,20,Teissières-de-Cornet
teissieres-les-boulies,22,Teissières-lès-Bouliès
thiezac,7,Thiézac
tiviers,7,Tiviers
tournemire,10,Tournemire
tremouille,10,Trémouille
trizac,6,Trizac
ussel,5,Ussel
vabres,6,Vabres
valette,7,Valette
valjouze,8,Valjouze
valuejols,9,Valuéjols
vebret,6,Vebret
vedrines-saint-loup,19,Védrines-Saint-Loup
velzic,6,Velzic
vernols,7,Vernols
veyrieres,9,Veyrières
vezac,5,Vézac
veze,4,Vèze
vezels-roussy,13,Vezels-Roussy
vic-sur-cere,12,Vic-sur-Cère
vieillespesse,13,Vieillespesse
vieillevie,10,Vieillevie
villedieu,9,Villedieu
virargues,9,Virargues
vitrac,6,Vitrac
ydes,4,Ydes
yolet,5,Yolet
ytrac,5,Ytrac
abzac,5,Abzac
agris,5,Agris
aignes-et-puyperoux,19,Aignes-et-Puypéroux
aigre,5,Aigre
alloue,6,Alloue
amberac,7,Ambérac
ambernac,8,Ambernac
ambleville,10,Ambleville
anais,5,Anais
angeac-champagne,16,Angeac-Champagne
angeac-charente,15,Angeac-Charente
angeduc,7,Angeduc
angouleme,9,Angoulême
ansac-sur-vienne,16,Ansac-sur-Vienne
anville,7,Anville
ars,3,Ars
asnieres-sur-nouere,19,Asnières-sur-Nouère
aubeterre-sur-dronne,20,Aubeterre-sur-Dronne
aubeville,9,Aubeville
auge-saint-medard,17,Auge-Saint-Médard
aunac,5,Aunac
aussac-vadalle,14,Aussac-Vadalle
baignes-sainte-radegonde,24,Baignes-Sainte-Radegonde
balzac,6,Balzac
barbezieres,11,Barbezières
barbezieux-saint-hilaire,24,Barbezieux-Saint-Hilaire
bardenac,8,Bardenac
barret,6,Barret
barro,5,Barro
bassac,6,Bassac
bayers,6,Bayers
bazac,5,Bazac
beaulieu-sur-sonnette,21,Beaulieu-sur-Sonnette
becheresse,10,Bécheresse
bellon,6,Bellon
benest,6,Benest
bernac,6,Bernac
berneuil,8,Berneuil
bessac,6,Bessac
besse,5,Bessé
bignac,6,Bignac
bioussac,8,Bioussac
birac,5,Birac
blanzac-porcheresse,19,Blanzac-Porcheresse
blanzaguet-saint-cybard,23,Blanzaguet-Saint-Cybard
boisbreteau,11,Boisbreteau
bonnes,6,Bonnes
bonneuil,8,Bonneuil
bonneville,10,Bonneville
bors-de-baignes,15,"Bors de Baignes"
bors-de-montmoreau,18,"Bors de Montmoreau"
bouex,5,Bouëx
bourg-charente,14,Bourg-Charente
bouteville,10,Bouteville
boutiers-saint-trojan,21,Boutiers-Saint-Trojan
brettes,7,Brettes
breville,8,Bréville
brie,4,Brie
brie-sous-barbezieux,20,Brie-sous-Barbezieux
brie-sous-chalais,17,Brie-sous-Chalais
brigueuil,9,Brigueuil
brillac,7,Brillac
brossac,7,Brossac
bunzac,6,Bunzac
cellefrouin,11,Cellefrouin
cellettes,9,Cellettes
chabanais,9,Chabanais
chabrac,7,Chabrac
chadurie,8,Chadurie
chalais,7,Chalais
challignac,10,Challignac
champagne-mouton,16,Champagne-Mouton
champagne-vigny,15,Champagne-Vigny
champmillon,11,Champmillon
champniers,10,Champniers
chantillac,10,Chantillac
charmant,8,Charmant
charme,6,Charmé
charras,7,Charras
chasseneuil-sur-bonnieure,25,Chasseneuil-sur-Bonnieure
chassenon,9,Chassenon
chassiecq,9,Chassiecq
chassors,8,Chassors
chateaubernard,14,Châteaubernard
chateauneuf-sur-charente,24,Châteauneuf-sur-Charente
chatignac,9,Châtignac
chavenat,8,Chavenat
chazelles,9,Chazelles
chenommet,9,Chenommet
chenon,6,Chenon
cherves-chatelars,17,Cherves-Châtelars
cherves-richemont,17,Cherves-Richemont
chillac,7,Chillac
chirac,6,Chirac
claix,5,Claix
cognac,6,Cognac
combiers,8,Combiers
condac,6,Condac
condeon,7,Condéon
confolens,9,Confolens
coulgens,8,Coulgens
coulonges,9,Coulonges
courbillac,10,Courbillac
courcome,8,Courcôme
courgeac,8,Courgeac
courlac,7,Courlac
couture,7,Couture
cressac-saint-genis,19,Cressac-Saint-Genis
criteuil-la-magdeleine,22,Criteuil-la-Magdeleine
curac,5,Curac
deviat,6,Deviat
dignac,6,Dignac
dirac,5,Dirac
douzat,6,Douzat
ebreon,6,Ebréon
echallat,8,Echallat
ecuras,6,Ecuras
edon,4,Edon
empure,6,Empuré
epenede,7,Epenède
eraville,8,Eraville
esse,4,Esse
etagnac,7,Etagnac
etriac,6,Etriac
exideuil,8,Exideuil
eymouthiers,11,Eymouthiers
feuillade,9,Feuillade
fleac,5,Fléac
fleurac,7,Fleurac
fontclaireau,12,Fontclaireau
fontenille,10,Fontenille
fouquebrune,11,Fouquebrune
fouqueure,9,Fouqueure
foussignac,10,Foussignac
garat,5,Garat
gardes-le-pontaroux,19,Gardes-le-Pontaroux
genac,5,Genac
genouillac,10,Genouillac
gensac-la-pallue,16,Gensac-la-Pallue
gente,5,Genté
gimeux,6,Gimeux
gond-pontouvre,14,Gond-Pontouvre
gondeville,10,Gondeville
gourville,9,Gourville
grassac,7,Grassac
guimps,6,Guimps
guizengeard,11,Guizengeard
gurat,5,Gurat
hiersac,7,Hiersac
hiesse,6,Hiesse
houlette,8,Houlette
jarnac,6,Jarnac
jauldes,7,Jauldes
javrezac,8,Javrezac
juignac,7,Juignac
juillac-le-coq,14,Juillac-le-Coq
juillaguet,10,Juillaguet
juille,6,Juillé
julienne,8,Julienne
jurignac,8,Jurignac
l-isle-d-espagnac,17,L'Isle-d'Espagnac
la-chapelle,11,"La Chapelle"
la-chevrerie,12,"La Chèvrerie"
la-couronne,11,"La Couronne"
la-faye,7,"La Faye"
la-foret-de-tesse,17,"La Forêt-de-Tessé"
la-magdeleine,13,"La Magdeleine"
la-peruse,9,"La Péruse"
la-rochefoucauld,16,"La Rochefoucauld"
la-rochette,11,"La Rochette"
la-tache,8,"La Tâche"
lachaise,8,Lachaise
ladiville,9,Ladiville
lagarde-sur-le-ne,17,Lagarde-sur-le-Né
lamerac,7,Lamérac
laprade,7,Laprade
le-bouchage,11,"Le Bouchage"
le-grand-madieu,15,"Le Grand-Madieu"
le-lindois,10,"Le Lindois"
le-tatre,8,"Le Tâtre"
le-vieux-cerier,15,"Le Vieux-Cérier"
les-adjots,10,"Les Adjots"
les-essards,11,"Les Essards"
les-gours,9,"Les Gours"
les-metairies,13,"Les Métairies"
les-pins,8,"Les Pins"
lesignac-durand,15,Lésignac-Durand
lessac,6,Lessac
lesterps,8,Lesterps
licheres,8,Lichères
ligne,5,Ligné
lignieres-sonneville,20,Lignières-Sonneville
linars,6,Linars
londigny,8,Londigny
longre,6,Longré
lonnes,6,Lonnes
louzac-saint-andre,18,Louzac-Saint-André
lupsault,8,Lupsault
lussac,6,Lussac
luxe,4,Luxé
magnac-lavalette-villars,24,Magnac-Lavalette-Villars
magnac-sur-touvre,17,Magnac-sur-Touvre
maine-de-boixe,14,Maine-de-Boixe
mainfonds,9,Mainfonds
mainxe,6,Mainxe
mainzac,7,Mainzac
malaville,9,Malaville
manot,5,Manot
mansle,6,Mansle
marcillac-lanville,18,Marcillac-Lanville
mareuil,7,Mareuil
marillac-le-franc,17,Marillac-le-Franc
marsac,6,Marsac
marthon,7,Marthon
massignac,9,Massignac
mazerolles,10,Mazerolles
mazieres,8,Mazières
medillac,8,Médillac
merignac,8,Mérignac
merpins,7,Merpins
mesnac,6,Mesnac
mons,4,Mons
montboyer,9,Montboyer
montbron,8,Montbron
montchaude,10,Montchaude
montemboeuf,11,Montemboeuf
montignac-charente,18,Montignac-Charente
montignac-le-coq,16,Montignac-le-Coq
montigne,8,Montigné
montjean,8,Montjean
montmoreau-saint-cybard,23,Montmoreau-Saint-Cybard
montrollet,10,Montrollet
mornac,6,Mornac
mosnac,6,Mosnac
moulidars,9,Moulidars
mouthiers-sur-boeme,19,Mouthiers-sur-Boëme
mouton,6,Mouton
moutonneau,10,Moutonneau
mouzon,6,Mouzon
nabinaud,8,Nabinaud
nanclars,8,Nanclars
nanteuil-en-vallee,18,Nanteuil-en-Vallée
nercillac,9,Nercillac
nersac,6,Nersac
nieuil,6,Nieuil
nonac,5,Nonac
nonaville,9,Nonaville
oradour,7,Oradour
oradour-fanais,14,Oradour-Fanais
orgedeuil,9,Orgedeuil
oriolles,8,Oriolles
orival,6,Orival
paizay-naudouin-embourie,24,Paizay-Naudouin-Embourie
palluaud,8,Palluaud
parzac,6,Parzac
passirac,8,Passirac
pereuil,7,Péreuil
perignac,8,Pérignac
pillac,6,Pillac
plaizac,7,Plaizac
plassac-rouffiac,16,Plassac-Rouffiac
pleuville,9,Pleuville
poullignac,10,Poullignac
poursac,7,Poursac
pranzac,7,Pranzac
pressignac,10,Pressignac
puymoyen,8,Puymoyen
puyreaux,8,Puyréaux
raix,4,Raix
rancogne,8,Rancogne
ranville-breuillaud,19,Ranville-Breuillaud
reignac,7,Reignac
reparsac,8,Réparsac
rioux-martin,12,Rioux-Martin
rivieres,8,Rivières
ronsenac,8,Ronsenac
rouffiac,8,Rouffiac
rougnac,7,Rougnac
rouillac,8,Rouillac
roullet-saint-estephe,21,Roullet-Saint-Estèphe
roumazieres-loubert,19,Roumazières-Loubert
roussines,9,Roussines
rouzede,7,Rouzède
ruelle-sur-touvre,17,Ruelle-sur-Touvre
ruffec,6,Ruffec
saint-adjutory,14,Saint-Adjutory
saint-amant-de-montmoreau,25,Saint-Amant-de-Montmoreau
saint-amant-de-boixe,20,Saint-Amant-de-Boixe
saint-amant-de-bonnieure,24,Saint-Amant-de-Bonnieure
graves-saint-amant,18,Graves-Saint-Amant
saint-amant-de-nouere,21,Saint-Amant-de-Nouère
saint-angeau,12,Saint-Angeau
saint-aulais-la-chapelle,24,Saint-Aulais-la-Chapelle
saint-avit,10,Saint-Avit
saint-bonnet,12,Saint-Bonnet
saint-brice,11,Saint-Brice
saint-christophe,16,Saint-Christophe
saint-ciers-sur-bonnieure,25,Saint-Ciers-sur-Bonnieure
saint-claud,11,Saint-Claud
saint-coutant,13,Saint-Coutant
saint-cybardeaux,16,Saint-Cybardeaux
saint-eutrope,13,Saint-Eutrope
saint-felix,11,Saint-Félix
saint-fort-sur-le-ne,20,Saint-Fort-sur-le-Né
saint-fraigne,13,Saint-Fraigne
saint-front,11,Saint-Front
saint-genis-d-hiersac,21,Saint-Genis-d'Hiersac
saint-georges,13,Saint-Georges
saint-germain-de-confolens,26,Saint-Germain-de-Confolens
saint-germain-de-montbron,25,Saint-Germain-de-Montbron
saint-gourson,13,Saint-Gourson
